"2007","Num studies:1","","2008","Num studies:1","","2014","Num studies:1","","2016","Num studies:4","","2017","Num studies:2","","2018","Num studies:4","","2019","Num studies:6","","2020","Num studies:9","","2021","Num studies:13","","2022","Num studies:10",""
"","","","","","","","","","","","","","","","","","","","","","stroke",1,"0.02334267040149393%","adaptations",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","regarding",1,"0.02334267040149393%","4-assessment",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","demographics",1,"0.02334267040149393%","interview",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","ethnicity",1,"0.02334267040149393%","forms",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","told",1,"0.02334267040149393%","6-",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","different",1,"0.02334267040149393%","areas",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","points",1,"0.02334267040149393%","engaging",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","identifying",1,"0.02334267040149393%","solving",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","knowledgeable",1,"0.02334267040149393%","brainstorming",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","informant",1,"0.02334267040149393%","providing",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","course",1,"0.02334267040149393%","offering",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","learn",1,"0.02334267040149393%","identified",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","how",1,"0.02334267040149393%","7",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","counts",1,"0.02334267040149393%","8",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","entered",1,"0.02334267040149393%","another",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","reviewed",1,"0.02334267040149393%","planning",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","designed",1,"0.01939111886755866%","9-",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","enable",1,"0.01939111886755866%","rapport",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","peers",1,"0.01939111886755866%","working",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","players",1,"0.01939111886755866%","backgrounds",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","he",1,"0.01939111886755866%","cultures",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","1-7",1,"0.01939111886755866%","relationships",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","created",1,"0.01939111886755866%","families",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","team",1,"0.01939111886755866%","balance",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","13-15",1,"0.01939111886755866%","roles",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","create",1,"0.01939111886755866%","adjusting",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","lessons",1,"0.01939111886755866%","readiness",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","learned",1,"0.01939111886755866%","challenging",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","testing",1,"0.01939111886755866%","cases",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","researchers",1,"0.01939111886755866%","motivational",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","track",1,"0.01939111886755866%","interviewing",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","rl",1,"0.01939111886755866%","explain",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","follows",1,"0.01939111886755866%","scripts",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","leading",1,"0.01939111886755866%","continuous",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","they",1,"0.01939111886755866%","feedback",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","follow",1,"0.01939111886755866%","loops",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","80",1,"0.01939111886755866%","assure",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","require",1,"0.01939111886755866%","currently",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","assistance",1,"0.01939111886755866%","piersol",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","quasi-experiments",1,"0.01939111886755866%","slide",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","pre-post",1,"0.01939111886755866%","deck",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","design",1,"0.01939111886755866%","presentations",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","assessed",1,"0.01939111886755866%","described",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","examining",1,"0.01939111886755866%","1b",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","rp",1,"0.01939111886755866%","-the",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","affect",1,"0.01939111886755866%","program-",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","hypothesized",1,"0.01939111886755866%","scalable",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","result",1,"0.01939111886755866%","natural",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","crt",1,"0.01939111886755866%","processing",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","consisting",1,"0.01939111886755866%","essence",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","pre-",1,"0.01939111886755866%","captured",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","post-intervention",1,"0.01939111886755866%","included",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","measurements",1,"0.01939111886755866%","metrics",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","-which",1,"0.01939111886755866%","transcribed",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","since",1,"0.01939111886755866%","narratives",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","occur",1,"0.01939111886755866%","psychotherapy",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","improvements",1,"0.01939111886755866%","21",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","made",1,"0.01939111886755866%","quality-",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","represent",1,"0.01939111886755866%","namely",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","definitive",1,"0.01939111886755866%","technical",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","forms",1,"0.01939111886755866%","consisting",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","distal",1,"0.01939111886755866%","ani",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","upon",1,"0.01939111886755866%","consultant",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","demqol",1,"0.01939111886755866%","prosody",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","achieved",1,"0.01939111886755866%","mari",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","eliciting",1,"0.01939111886755866%","ostendorf",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","85",1,"0.01939111886755866%","co-",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","imaging",1,"0.07407407407407407%","worked",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","250",1,"0.07407407407407407%","extensively",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","multiethnic",1,"0.07407407407407407%","readability",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","atherosclerosis",1,"0.07407407407407407%","linguistic",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","columbia",1,"0.07407407407407407%","ultimate",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","university",1,"0.07407407407407407%","efforts",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","irving",1,"0.07407407407407407%","that-",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","imaged",1,"0.07407407407407407%","real",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","once",1,"0.07407407407407407%","immediately",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","pittsburgh",1,"0.07407407407407407%","produces",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","compound",1,"0.07407407407407407%","three-tiered",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","pib",1,"0.07407407407407407%","indicating",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","single",1,"0.07407407407407407%","special",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","contraindications",1,"0.07407407407407407%","emphasis",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","checked",1,"0.07407407407407407%","identifying",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","10",1,"0.07407407407407407%","fateful",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","whole",1,"0.07407407407407407%","produce",1,"0.003857727027235553%","","",""
"","","","","","","","","","","","","","","","","","","","","","suvr",1,"0.07407407407407407%","n-best",1,"0.003857727027235553%","","",""
