"2001","Num studies:1","","2002","Num studies:1","","2005","Num studies:2","","2007","Num studies:5","","2009","Num studies:3","","2010","Num studies:2","","2012","Num studies:5","","2013","Num studies:2","","2014","Num studies:6","","2015","Num studies:8","","2016","Num studies:20","","2017","Num studies:18","","2018","Num studies:48","","2019","Num studies:59","","2020","Num studies:85","","2021","Num studies:159","","2022","Num studies:133","","2023","Num studies:1",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","triangle",1,"0.0011907597046915933%","overwhelming",1,"0.003811701924909472%","8-10",1,"0.003081474177246395%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","four-step",1,"0.0011907597046915933%","superiority",1,"0.003811701924909472%","mailed",1,"0.003081474177246395%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","maryland",1,"0.0011907597046915933%","radiation-free",1,"0.003811701924909472%","concepts",1,"0.003081474177246395%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","primarily",1,"0.0011907597046915933%","non-invasiveness",1,"0.003811701924909472%","patient-initiated",1,"0.003081474177246395%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","secondarily",1,"0.0011907597046915933%","tau-load",1,"0.003811701924909472%","deciding",1,"0.003081474177246395%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","room",1,"0.0011907597046915933%","probably",1,"0.003811701924909472%","discussing",1,"0.003081474177246395%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","re-hospitalizations",1,"0.0011907597046915933%","outperform",1,"0.003811701924909472%","documenting",1,"0.003081474177246395%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","admissions",1,"0.0011907597046915933%","accessibility",1,"0.003811701924909472%","guides",1,"0.003081474177246395%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","policies",1,"0.0011907597046915933%","attractive",1,"0.003811701924909472%","format",1,"0.003081474177246395%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","fidelity",1,"0.0011907597046915933%","conceptual",1,"0.003811701924909472%","documentation",1,"0.003081474177246395%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","receipt",1,"0.0011907597046915933%","shift",1,"0.003811701924909472%","billing",1,"0.003081474177246395%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","enactment",1,"0.0011907597046915933%","preferring",1,"0.003811701924909472%","details",1,"0.003081474177246395%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","136",1,"0.0011907597046915933%","fire-new",1,"0.003811701924909472%","promotes",1,"0.003081474177246395%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","savings",1,"0.0011907597046915933%","data-driven",1,"0.003811701924909472%","others'",1,"0.003081474177246395%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","prioritized",1,"0.0011907597046915933%","created",1,"0.003811701924909472%","presentations",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","timing",1,"0.0011907597046915933%","constitute",1,"0.003811701924909472%","demographically",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","flexible",1,"0.0011907597046915933%","applicable",1,"0.003811701924909472%","irb",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","update",1,"0.0011907597046915933%","explainable",1,"0.003811701924909472%","842873",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stakeholders",1,"0.0011907597046915933%","efficiently",1,"0.003811701924909472%","centralized",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","majority",1,"0.0011907597046915933%","categorize",1,"0.003811701924909472%","repository",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","spent",1,"0.0011907597046915933%","undoubtedly",1,"0.003811701924909472%","store",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","assuring",1,"0.0011907597046915933%","adrd-related",1,"0.015339776039269826%","basic",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","organize",1,"0.0011907597046915933%","microbial",1,"0.0069881201956673656%","reviewed",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","overview",1,"0.0011907597046915933%","montpellier",1,"0.0069881201956673656%","consensus",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","brainstorming",1,"0.0011907597046915933%","metagenomics",1,"0.0069881201956673656%","conference",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","completes",1,"0.0011907597046915933%","proteomics",1,"0.0069881201956673656%","variants",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","appropriate",1,"0.0011907597046915933%","stools",1,"0.0069881201956673656%","one-time",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","units",1,"0.0011907597046915933%","metabolomic",1,"0.0069881201956673656%","amyloid-ß1-42",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","plans",1,"0.0011907597046915933%","urines",1,"0.0069881201956673656%","neuropathologic",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","makes",1,"0.0011907597046915933%","tangle",1,"0.0027584684982897493%","elect",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","focuses",1,"0.0011907597046915933%","caveats",1,"0.0027584684982897493%","florbetaben",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","achievement",1,"0.0011907597046915933%","non-randomized",1,"0.0027584684982897493%","824869",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","overcome",1,"0.0011907597046915933%","standardizing",1,"0.0027584684982897493%","concurrently",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","multilevel",1,"0.0011907597046915933%","accomplish",1,"0.0027584684982897493%","comprises",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","emails",1,"0.0011907597046915933%","standardize",1,"0.0027584684982897493%","tracer",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","motivational",1,"0.0011907597046915933%","convert",1,"0.0027584684982897493%","transactive",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","things",1,"0.0011907597046915933%","braak",1,"0.0027584684982897493%","dna",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","updates",1,"0.0011907597046915933%","staging",1,"0.0027584684982897493%","kda",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dollar",1,"0.0011907597046915933%","ascertain",1,"0.0027584684982897493%","tauopathies",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gift",1,"0.0011907597046915933%","optimal",1,"0.0027584684982897493%","pennchart",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","certificate",1,"0.0011907597046915933%","benchmark",1,"0.0027584684982897493%","database",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","com",1,"0.0011907597046915933%","dataset",1,"0.0027584684982897493%","indd",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","buy",1,"0.0011907597046915933%","harmonization",1,"0.0027584684982897493%","satisfy",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","supplies",1,"0.0011907597046915933%","acu193",1,"0.013102725366876311%","neurologically",1,"0.001485928259383637%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","age-appropriate",1,"0.0011907597046915933%","computed",1,"0.005375477073590281%","grn",1,"0.001485928259383637%","","",""
