"2017","Num studies:1","","2019","Num studies:2","","2020","Num studies:3","","2021","Num studies:20","","2022","Num studies:79","","2023","Num studies:35","","2024","Num studies:3","","2025","Num studies:1",""
"","","","","","","","","","","","","52-week",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","adjudication",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","computed",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","scoring",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","randomize",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","termination",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","pe",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","maximum",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","60-day",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","board",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","discontinued",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","recommend",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","stopping",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","reasons",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","38",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","amsterdam",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","rating-sum",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","boxes",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","inventory",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","interview-based",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","impression",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","input",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","aes",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","electrocardiogram",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","ecg",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","suicidal",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","ideation",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","c-ssrs",1,"0.0016503556516429291%","","","","","","","","",""
"","","","","","","","","","","","","brains",1,"0.005063291139240506%","","","","","","","","",""
"","","","","","","","","","","","","activate",1,"0.005063291139240506%","","","","","","","","",""
"","","","","","","","","","","","","deteriorated",1,"0.005063291139240506%","","","","","","","","",""
"","","","","","","","","","","","","harmless",1,"0.005063291139240506%","","","","","","","","",""
"","","","","","","","","","","","","virus",1,"0.005063291139240506%","","","","","","","","",""
"","","","","","","","","","","","","label",1,"0.005063291139240506%","","","","","","","","",""
"","","","","","","","","","","","","aav2-bdnf",1,"0.005063291139240506%","","","","","","","","",""
"","","","","","","","","","","","","regulates",1,"0.005063291139240506%","","","","","","","","",""
"","","","","","","","","","","","","entorhinal",1,"0.005063291139240506%","","","","","","","","",""
"","","","","","","","","","","","","hippocampus",1,"0.005063291139240506%","","","","","","","","",""
"","","","","","","","","","","","","builds",1,"0.005063291139240506%","","","","","","","","",""
"","","","","","","","","","","","","synapses",1,"0.005063291139240506%","","","","","","","","",""
"","","","","","","","","","","","","candidate",1,"0.005063291139240506%","","","","","","","","",""
"","","","","","","","","","","","","bbb",1,"0.005063291139240506%","","","","","","","","",""
"","","","","","","","","","","","","ngf",1,"0.005063291139240506%","","","","","","","","",""
"","","","","","","","","","","","","neurturin",1,"0.005063291139240506%","","","","","","","","",""
"","","","","","","","","","","","","120",1,"0.005063291139240506%","","","","","","","","",""
"","","","","","","","","","","","","degenerating",1,"0.005063291139240506%","","","","","","","","",""
"","","","","","","","","","","","","respond",1,"0.005063291139240506%","","","","","","","","",""
"","","","","","","","","","","","","classic",1,"0.005063291139240506%","","","","","","","","",""
"","","","","","","","","","","","","trophic",1,"0.005063291139240506%","","","","","","","","",""
"","","","","","","","","","","","","transfer",1,"0.005063291139240506%","","","","","","","","",""
"","","","","","","","","","","","","repeat",1,"0.005063291139240506%","","","","","","","","",""
"","","","","","","","","","","","","newly",1,"0.024342745861733205%","","","","","","","","",""
"","","","","","","","","","","","","embedded",1,"0.024342745861733205%","","","","","","","","",""
"","","","","","","","","","","","","direction",1,"0.024342745861733205%","","","","","","","","",""
"","","","","","","","","","","","","u",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","organized",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","purposeless",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","psychomotor",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","diminishes",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","business",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","sbir",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","alerts",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","deploying",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","calming",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","crisis",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","sufferers",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","suffered",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","smart",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","greetings",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","eat",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","lunch",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","dates",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","rated",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","mitigating",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","proposes",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","greatest",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","success",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","eliminating",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","wearer",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","diminish",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","harmful",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","burnout",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","programmable",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","enables",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","anytime",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","agitation-sensing",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","reads",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","biometric",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","body-worn",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","deploy",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","continually",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","prioritize",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","rush",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","10-week",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","gather",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","miniaturized",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","broad",1,"0.0029099374363451185%","","","","","","","","",""
"","","","","","","","","","","","","near-infrared",1,"0.006842285323297982%","","","","","","","","",""
"","","","","","","","","","","","","dye",1,"0.006842285323297982%","","","","","","","","",""
"","","","","","","","","","","","","inferred",1,"0.006842285323297982%","","","","","","","","",""
"","","","","","","","","","","","","infrared",1,"0.006842285323297982%","","","","","","","","",""
"","","","","","","","","","","","","dendritic",1,"0.006842285323297982%","","","","","","","","",""
"","","","","","","","","","","","","dc",1,"0.006842285323297982%","","","","","","","","",""
"","","","","","","","","","","","","rad",1,"0.006842285323297982%","","","","","","","","",""
"","","","","","","","","","","","","assesses",1,"0.006842285323297982%","","","","","","","","",""
"","","","","","","","","","","","","dcs",1,"0.006842285323297982%","","","","","","","","",""
"","","","","","","","","","","","","putatively",1,"0.006842285323297982%","","","","","","","","",""
"","","","","","","","","","","","","icg-labeled",1,"0.006842285323297982%","","","","","","","","",""
"","","","","","","","","","","","","invos",1,"0.006842285323297982%","","","","","","","","",""
"","","","","","","","","","","","","7000",1,"0.006842285323297982%","","","","","","","","",""
"","","","","","","","","","","","","oximeter",1,"0.006842285323297982%","","","","","","","","",""
"","","","","","","","","","","","","black",1,"0.021454623471358077%","","","","","","","","",""
"","","","","","","","","","","","","tomography-based",1,"0.021454623471358077%","","","","","","","","",""
"","","","","","","","","","","","","dementia-alzheimer",1,"0.021454623471358077%","","","","","","","","",""
