"2010","Num studies:2","","2011","Num studies:4","","2012","Num studies:1","","2013","Num studies:1","","2014","Num studies:8","","2015","Num studies:6","","2016","Num studies:7","","2017","Num studies:14","","2018","Num studies:26","","2019","Num studies:28","","2020","Num studies:21","","2021","Num studies:18","","2022","Num studies:5",""
"","","","","","","","","","","","","","","","","","","","","","","","","continually",1,"0.012367054167697254%","utilises",1,"0.006254691018263698%","","","","paired-pulse",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","repeating",1,"0.012367054167697254%","produce",1,"0.006254691018263698%","","","","tms",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","phrases",1,"0.012367054167697254%","individualised",1,"0.006254691018263698%","","","","vivo",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","prescribed",1,"0.012367054167697254%","estimates",1,"0.006254691018263698%","","","","circuits",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","agitation",1,"0.012367054167697254%","population-based",1,"0.006254691018263698%","","","","sici",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","aggressive",1,"0.012367054167697254%","low",1,"0.006254691018263698%","","","","reflecting",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","stakeholders",1,"0.012367054167697254%","scalable",1,"0.006254691018263698%","","","","lici",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","strongly",1,"0.012367054167697254%","'at",1,"0.006254691018263698%","","","","afferent",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","advocate",1,"0.012367054167697254%","risk'",1,"0.006254691018263698%","","","","sai",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","minimizing",1,"0.012367054167697254%","modification",1,"0.006254691018263698%","","","","cholinergic",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","methodologies",1,"0.012367054167697254%","preventative",1,"0.006254691018263698%","","","","intermittent",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","integrated",1,"0.012367054167697254%","therapies",1,"0.006254691018263698%","","","","theta",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","combines",1,"0.012367054167697254%","identified",1,"0.006254691018263698%","","","","burst",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","expertise",1,"0.012367054167697254%","undergoing",1,"0.006254691018263698%","","","","itbs",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","work",1,"0.012367054167697254%","contain",1,"0.006254691018263698%","","","","probing",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","together",1,"0.012367054167697254%","10-year",1,"0.006254691018263698%","","","","long-",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","build",1,"0.012367054167697254%","all-cause",1,"0.006254691018263698%","","","","term",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","problem-based",1,"0.012367054167697254%","aged",1,"0.006254691018263698%","","","","potentiation",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","conducts",1,"0.012367054167697254%","60-79",1,"0.006254691018263698%","","","","ltp",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","discipline-specific",1,"0.012367054167697254%","routinely",1,"0.006254691018263698%","","","","means",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","recommendations",1,"0.012367054167697254%","externally",1,"0.006254691018263698%","","","","motor-evoked",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","prior",1,"0.012367054167697254%","published",1,"0.006254691018263698%","","","","potentials",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","suggests",1,"0.012367054167697254%","network",1,"0.006254691018263698%","","","","recordable",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","circumstances",1,"0.012367054167697254%","thin",1,"0.006254691018263698%","","","","emg",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","clear",1,"0.012367054167697254%","walters",1,"0.006254691018263698%","","","","parieto-temporal",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","prospectively",1,"0.012367054167697254%","2016",1,"0.006254691018263698%","","","","terms",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","80",1,"0.012367054167697254%","allowing",1,"0.006254691018263698%","","","","excitability",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","homes",1,"0.012367054167697254%","considerable",1,"0.008116883116883116%","","","","connectivity",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","difference",1,"0.012367054167697254%","disparities",1,"0.008116883116883116%","","","","da",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","comparators",1,"0.012367054167697254%","exist",1,"0.008116883116883116%","","","","analyzing",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","respect",1,"0.012367054167697254%","suggests",1,"0.008116883116883116%","","","","expect",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","facility",1,"0.012367054167697254%","demonstrated",1,"0.008116883116883116%","","","","modulations",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","dispensed",1,"0.012367054167697254%","remains",1,"0.008116883116883116%","","","","eeg",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","enhanced",1,"0.012367054167697254%","unknown",1,"0.008116883116883116%","","","","frequencies",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","dilemma",1,"0.012367054167697254%","useful",1,"0.008116883116883116%","","","","beta",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","face",1,"0.012367054167697254%","in-home",1,"0.008116883116883116%","","","","gamma",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","strive",1,"0.012367054167697254%","affordable",1,"0.008116883116883116%","","","","indexes",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","optimize",1,"0.012367054167697254%","affected",1,"0.008116883116883116%","","","","amplitude",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","alternative",1,"0.012367054167697254%","poverty",1,"0.008116883116883116%","","","","improvement",1,"0.012428535918468804%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","transforming",1,"0.012367054167697254%","discrimination",1,"0.008116883116883116%","","","","emerged",1,"0.024582104228121928%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","nhs",1,"0.012367054167697254%","assistance",1,"0.008116883116883116%","","","","promising",1,"0.024582104228121928%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","enhancing",1,"0.012367054167697254%","student",1,"0.008116883116883116%","","","","non-pharmacologic",1,"0.024582104228121928%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","priorities",1,"0.012367054167697254%","assistants",1,"0.008116883116883116%","","","","6-month",1,"0.024582104228121928%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","advocates",1,"0.012367054167697254%","texas",1,"0.008116883116883116%","","","","peripheral",1,"0.024582104228121928%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","multicentre",1,"0.01086484137331595%","louisiana",1,"0.008116883116883116%","","","","mediators",1,"0.024582104228121928%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","slows",1,"0.01086484137331595%","arkansas",1,"0.008116883116883116%","","","","moderators",1,"0.024582104228121928%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","iron",1,"0.01086484137331595%","114",1,"0.008116883116883116%","","","","exercise-derived",1,"0.024582104228121928%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","double-blinded",1,"0.01086484137331595%","module",1,"0.008116883116883116%","","","","observed",1,"0.024582104228121928%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","multi-centre",1,"0.01086484137331595%","face-to-face",1,"0.008116883116883116%","","","","90",1,"0.024582104228121928%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","15mg",1,"0.01086484137331595%","behavior",1,"0.008116883116883116%","","","","aged",1,"0.024582104228121928%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","chance",1,"0.01086484137331595%","aspects",1,"0.008116883116883116%","","","","old",1,"0.024582104228121928%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","placed",1,"0.01086484137331595%","providing",1,"0.008116883116883116%","","","","wait-list",1,"0.024582104228121928%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","enrol",1,"0.01086484137331595%","meaning",1,"0.008116883116883116%","","","","assigned",1,"0.024582104228121928%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","171",1,"0.01086484137331595%","spirituality",1,"0.008116883116883116%","","","","60",1,"0.024582104228121928%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","sites",1,"0.01086484137331595%","companions",1,"0.008116883116883116%","","","","min",1,"0.024582104228121928%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","australia",1,"0.01086484137331595%","reduces",1,"0.008116883116883116%","","","","comprehensive",1,"0.024582104228121928%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","duration",1,"0.01086484137331595%","ascertain",1,"0.008116883116883116%","","","","neuropsychological",1,"0.024582104228121928%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","54",1,"0.01086484137331595%","6-",1,"0.008116883116883116%","","","","pet",1,"0.024582104228121928%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","signing",1,"0.01086484137331595%","interpret",1,"0.008116883116883116%","","","","cutting-edge",1,"0.024582104228121928%","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","extensive",1,"0.01086484137331595%","statistical",1,"0.008116883116883116%","","","","mri",1,"0.024582104228121928%","","",""
